sender,tweet_text,tweet_id
megzzz,"Cheers! Kicking off @DineOutVanFest at @ediblecanada with a little bubbly, thank you Max ☺… https://t.co/VUEE6lBGTv https://t.co/BKqTkwCAjS",822693731006644225
FabFrugalVan,"Wine pairing for 3 courses -
@ProvenceMarina for @DineOutVanFest is only $25 #DOVF https://t.co/cQEdCrxJO0",822683606065647616
GyozaBarVan,@FabFrugalVan @ProvenceMarina @DineOutVanFest Hope you enjoyed!,822680612997734401
MinamiYaletown,@stephwants @DineOutVanFest @OpusHotel @housespecialvan @La_Pentola @iyaletown @MyVancouver @VanSunFood Thanks for the post!,822680508358213633
THEMARTINCHEUNG,Amazing start to @DineOutVanFest 2017 at @ancoradining #mydineoutstory https://t.co/bWyakUdWT3,822680393455267840
VanGlutton,Holding my stomach in fullness. @dineoutvanfest  @ChewiesOysters -- fried chicken &amp; waffle was amazing #dovf #yvr https://t.co/cGrLAWAMpk,822680080522485760
kittycat619,Dine Out Vancouver Day 1: Banana Leaf @DineOutVanFest @kittycat619 https://t.co/XqAB0HgoVA,822679735054450688
hmcgillivray,The @ocean_wise pop up resto by Chef @nedbell @vanaqua is EVERYTHING @DineOutVanFest should be. Don't miss it! #dovf https://t.co/i3KnQA3FVQ,822677660434214912
LammieLoves,Desserts from @annalenayvr Dine Out menu. Who's eating out for @DineOutVanFest tonight? #dovf #mydineoutstory https://t.co/4OyoHMgyjy,822675901934551040
social_corner_,"DINE OUT Vancouver Festival 🍝 Touch of best parts of Italy, Spain and Latin America. Experience it on Jan 20 - Feb… https://t.co/GbpuYv8aXz",822675601521684481
elgourmetmexico,"Pinot Grigio para la burrata en #LaPentola, el restaurante de @OpusHotel #MyVancouver @DineOutVanFest 🍴 https://t.co/6ncMurmATo",822674848551870466
mag_mei,Tasting seal for the first time at @ediblecanada. This is part of their #dineoutvancouver menu.… https://t.co/4mgrIX3tzv,822673900119224320
fongonfood,Celebrating @dineoutvanfest my new show @roundhouse983 @fongonfood  @lephotographer1… https://t.co/pYBtpBmhr3,822672330287521792
CynnamonS,Checking out @DineOutVanFest at the amazing @FSVancouver #yew #vancouver Cheers!! #friyay https://t.co/iZROVU0wkZ,822668340489437184
FabFrugalVan,Third course - white chocolate clafoutis @ProvenceMarina @DineOutVanFest #DOVF https://t.co/XnTpfTBqJu,822668207186030592
FabFrugalVan,Second course - duck confit leg @ProvenceMarina @DineOutVanFest #dovf https://t.co/tUsRQrZe6x,822667299899338752
FabFrugalVan,"First course - three smoked fish - mackerel, salmon and trout @ProvenceMarina @DineOutVanFest #DOVF https://t.co/uct9tMwjV5",822666502864109568
foodychewy,What a delicious dinner at @WestinBayshore #SeawallBar&amp;Grill #DOVF @DineOutVanFest 😋👍 https://t.co/wgVz31uRDZ,822661551974940673
TheGreekYT,#DineoutVancouver is back! From January 20th - February 5th come and try our $40 menu.… https://t.co/q7ObKBotJg,822661024872615937
sunransek,First day of @DineOutVanFest! #RMFdineout2017 @flatbreadCo https://t.co/pxnLJfXwYl,822657514680578049
FabFrugalVan,. @blvdyvr   Wine Events this Feb for @DineOutVanFest &amp; @VanWineFest https://t.co/BVxXFZT78o,822656250458624002
WeedInbox,"This week starts #DineOutVancouver. 
This week also marks the start of my annual ""#jamsession"".",822653191506501637
discoveryparent,Checking out @flatbreadCo in Vancouver. https://t.co/K28W8UEatC #giveaway #DineOutVancouver,822651938483372032
FabFrugalVan,"Street Food City Returns to @DineOutVanFest  January 23 - 29
https://t.co/u6IslTEFEm",822648694990405633
MarlowMoo,Salted chocolate tart and apple panna cotta @WildebeestYVR wildebeestyvr #MooEats #yvrfood #dineoutvancouver… https://t.co/ivJaaa16CH,822648004888956930
DJAlibabaVan,Our #dineoutvancouver menu offered everyday 11:30am-10pm Only $20 +tax for full 3 course menu!!! @FlyingBeaverBar https://t.co/H1dLnKAYfW,822641421408759809
kristineli_,My tummy is ready for @DineOutVanFest 😝 https://t.co/sdXFccpC5a,822638974908985344
LammieLoves,Some of the mains @annalenayvr on their @DineOutVanFest menu. Especially love the risotto! #dovf #mydineoutstory… https://t.co/9RRoKLPcuA,822637253591703552
vanaqua,Forget the fish 'n' chips. At @DineOutVanFest #OceanWise chef @nedbell transforms our café into a pop-up bistro:… https://t.co/jGpdgaIx7F,822633603167350785
mooretosayblog,Salmon Okonomiyaki #dineout #Coast #dineoutvancouver My personal favourite dine out dish!… https://t.co/FoowqS6Qh0,822630033642680320
MarlowMoo,"Beet and blue cheese salad, game terrine, pan seared salmon and tagliatelle at @WildebeestYVR  #MooEats #yvrfood… https://t.co/g0rNgv8cTb",822626943954731010
ritacschan,#lobster #macandcheese #nomnomnom #granvilleisland #vancouverbc #yvr #dovf2017 #dineoutvancouver… https://t.co/8XpBYp35sG,822625895148126208
doyousaiwoo,Dine Out Vancouver is the perfect opportunity to enjoy a delicious three course meal at Sai Woo for just $40.… https://t.co/u7PJTf2EWQ,822624004330684418
bitesofvancity,I hope you were lucky enough to get reservations minamiyaletown for @dineoutvanfest and I hope… https://t.co/5wic0s1MtX,822623272764325889
